topic_id,words
0,"français, immigration, retraite, maintenir, impôt, naturel, rétablir, vouloir, etat, travail"
1,"mars, falloir, pouvoir, homme, pays, circonscription, député, faire, candidat, savoir"
2,"communiste, vote, pouvoir, entendre, peuple, parti, milliard, pourcent, programme, voix"
3,"droite, gauche, écologiste, force, voter, vouloir, candidat, écologie, vendre, faire"
4,"tour, dimanche, électeur, candidat, majorité, circonscription, confiance, progrès, degré, député"
5,"travailleur, faire, entreprise, emploi, payer, patron, patronat, devoir, falloir, chômage"
6,"français, renaissance, ingénieur, devoir, prochain, défense, sénat, immobilier, libre, réalisme"
7,"environnement, vie, nouveau, emploi, développement, solidarité, formation, société, monde, donner"
8,"français, voix, élu, traité, entendre, taxe, peine, force, mort, front"
9,"ecologie, carte, argent, renouvelable, incapable, prétendre, contrôle, communautaire, abandon, mauvais"
